,mean_585,mean_370,mean_245,mean_126,std_585,std_370,std_245,std_126,Year,,,,,,,,,,,,,,,,
thaw_depth_127,1.115182557,1.115182557,1.018025907,1.018025907,0.455826534,0.455826534,0.413453915,0.413453915,1976,,,,,,,,,,,,,,,,
thaw_depth_128,1.133858122,1.133858122,1.035527526,1.035527526,0.460194677,0.460194677,0.431939189,0.431939189,1977,,,,,,,,,,,,,,,,
thaw_depth_129,1.140398467,1.140398467,1.038276852,1.038276852,0.459539167,0.459539167,0.436908888,0.436908888,1978,,,,,,,,,,,,,,,,
thaw_depth_130,1.111406037,1.111406037,1.040807385,1.040807385,0.47037133,0.47037133,0.453420853,0.453420853,1979,,,,,,,,,,,,,,,,
thaw_depth_131,1.150769562,1.150769562,1.053518363,1.053518363,0.47613261,0.47613261,0.447268494,0.447268494,1980,,,,,,,,,,,,,,,,
thaw_depth_132,1.109148081,1.109148081,1.023710626,1.023710626,0.476012091,0.476012091,0.467436346,0.467436346,1981,,,,,,,,,,,,,,,,
thaw_depth_133,1.123336642,1.123336642,1.046307144,1.046307144,0.465987153,0.465987153,0.451215141,0.451215141,1982,,,,,,,,,,,,,,,,
thaw_depth_134,1.126807438,1.126807438,1.061620331,1.061620331,0.448284481,0.448284481,0.426547946,0.426547946,1983,,,,,,,,,,,,,,,,
thaw_depth_135,1.105119047,1.105119047,1.044809477,1.044809477,0.457076885,0.457076885,0.439933933,0.439933933,1984,,,,,,,,,,,,,,,,
thaw_depth_136,1.164020393,1.164020393,1.085226353,1.085226353,0.460702038,0.460702038,0.454649451,0.454649451,1985,,,,,,,,,,,,,,,,
thaw_depth_137,1.156233475,1.156233475,1.07213707,1.07213707,0.460143102,0.460143102,0.438931187,0.438931187,1986,,,,,,,,,,,,,,,,
thaw_depth_138,1.172228456,1.172228456,1.089657861,1.089657861,0.454489711,0.454489711,0.435415791,0.435415791,1987,,,,,,,,,,,,,,,,
thaw_depth_139,1.15595157,1.15595157,1.066840894,1.066840894,0.453429745,0.453429745,0.437253369,0.437253369,1988,,,,,,,,,,,,,,,,
thaw_depth_140,1.170401602,1.170401602,1.106903617,1.106903617,0.460591925,0.460591925,0.449699356,0.449699356,1989,,,,,,,,,,,,,,,,
thaw_depth_141,1.190187316,1.190187316,1.101603241,1.101603241,0.454517031,0.454517031,0.414864102,0.414864102,1990,,,,,,,,,,,,,,,,
thaw_depth_142,1.193136726,1.193136726,1.111099538,1.111099538,0.45848178,0.45848178,0.423914493,0.423914493,1991,,,,,,,,,,,,,,,,
thaw_depth_143,1.172528644,1.172528644,1.07909913,1.07909913,0.472922,0.472922,0.451282699,0.451282699,1992,,,,,,,,,,,,,,,,
thaw_depth_144,1.199317536,1.199317536,1.101785764,1.101785764,0.479722299,0.479722299,0.455631667,0.455631667,1993,,,,,,,,,,,,,,,,
thaw_depth_145,1.181793657,1.181793657,1.114743751,1.114743751,0.45940673,0.45940673,0.437528241,0.437528241,1994,,,,,,,,,,,,,,,,
thaw_depth_146,1.168326824,1.168326824,1.081889479,1.081889479,0.460609795,0.460609795,0.424502312,0.424502312,1995,,,,,,,,,,,,,,,,
thaw_depth_147,1.229125958,1.229125958,1.137403494,1.137403494,0.493566332,0.493566332,0.467095658,0.467095658,1996,,,,,,,,,,,,,,,,
thaw_depth_148,1.245012378,1.245012378,1.159756071,1.159756071,0.477662775,0.477662775,0.457928445,0.457928445,1997,,,,,,,,,,,,,,,,
thaw_depth_149,1.249326938,1.249326938,1.167487038,1.167487038,0.493765438,0.493765438,0.465389099,0.465389099,1998,,,,,,,,,,,,,,,,
thaw_depth_150,1.259257682,1.259257682,1.201343987,1.201343987,0.508123384,0.508123384,0.500845931,0.500845931,1999,,129.6959444,129.6959444,121.5582147,121.5582147,,,,,,,,,,,
thaw_depth_151,1.296959444,1.296959444,1.215582147,1.215582147,0.520514327,0.520514327,0.508168559,0.508168559,2000,,30.05661471,26.43334058,29.28055334,28.07406845,,,,,,,,,,,
thaw_depth_152,1.316168661,1.316168661,1.21207374,1.21207374,0.526561985,0.526561985,0.510289562,0.510289562,2001,,0.389822103,0.342829707,0.355929179,0.341263364,,,,,,,,,,,
thaw_depth_153,1.335593958,1.335593958,1.229964362,1.229964362,0.520895117,0.520895117,0.491047523,0.491047523,2002,,,,,,,,,,,,,,,,
thaw_depth_154,1.343752884,1.343752884,1.211124939,1.211124939,0.523916602,0.523916602,0.491878465,0.491878465,2003,,0.03898221,,,,,,,,,,,,,,
thaw_depth_155,1.373696336,1.373696336,1.242540932,1.242540932,0.532189897,0.532189897,0.493685027,0.493685027,2004,,3.89822103,,,,,,,,,,,,,,
thaw_depth_156,1.40461919,1.40461919,1.270968647,1.270968647,0.528196417,0.528196417,0.491860104,0.491860104,2005,,,,,,,,,,,,,,,,
thaw_depth_157,1.427551768,1.427551768,1.284022765,1.284022765,0.559561319,0.559561319,0.524261489,0.524261489,2006,,,,,,,,,,,,,,,,
thaw_depth_158,1.453832057,1.453832057,1.30142816,1.30142816,0.580126942,0.580126942,0.545713361,0.545713361,2007,,,,,,,,,,,,,,,,
thaw_depth_159,1.475282217,1.475282217,1.331150489,1.331150489,0.574556262,0.574556262,0.540402544,0.540402544,2008,,,,,,,,increase 2000 - 2100: ,,,,,,,,
thaw_depth_160,1.484841605,1.484841605,1.335047895,1.335047895,0.588788003,0.588788003,0.553822631,0.553822631,2009,,,,,,,,585,,,,,,,,
thaw_depth_161,1.486716688,1.486716688,1.325357667,1.325357667,0.580205729,0.580205729,0.531236382,0.531236382,2010,,,,,,,,1.399910437,1.399910437,1.269023795,1.269023795,,,,,
thaw_depth_162,1.501148105,1.501148105,1.347411963,1.347411963,0.592598403,0.592598403,0.555437618,0.555437618,2011,,1.686781547,1.639789151,1.571511326,1.556845511,,,139.9910437,139.9910437,126.9023795,126.9023795,,,,,
thaw_depth_163,1.506592425,1.506592425,1.359610603,1.359610603,0.606649725,0.606649725,0.571022827,0.571022827,2012,,168.6781547,163.9789151,157.1511326,155.6845511,,,4.035519641,3.763285029,2.77057389,2.309556787,,,,,
thaw_depth_164,1.490617451,1.490617451,1.342577491,1.342577491,0.605511998,0.605511998,0.555148927,0.555148927,2013,,38.9822103,,,,,,403.5519641,376.3285029,277.057389,230.9556787,,,,,
thaw_depth_165,1.570479967,1.570479967,1.416426118,1.416426118,0.607794883,0.607794883,0.566658682,0.566658682,2014,,,,,,,,,,,,,,,,
thaw_depth_166,1.559241901,1.524888566,1.487083808,1.445563667,0.605576781,0.590191062,0.593928236,0.570829143,2015,,,,,,,,263.5609204,236.3374592,150.1550095,104.0532992,,,,,
thaw_depth_167,1.591694254,1.497128591,1.477976316,1.429694967,0.621415256,0.603287272,0.610022562,0.582803104,2016,,,,,,,,26.35609204,23.63374592,15.01550095,10.40532992,,,,,
thaw_depth_168,1.608829604,1.555889032,1.466956714,1.478687314,0.644457622,0.605806967,0.598586581,0.592229313,2017,,,,,,,,,,,,,,,,
thaw_depth_169,1.601022798,1.571504074,1.487689412,1.478305788,0.650224266,0.606036097,0.61962645,0.599291868,2018,,,,,,,,,,,,,,,,
thaw_depth_170,1.655531524,1.576575687,1.524031282,1.517439079,0.648494796,0.619593793,0.603784381,0.597928676,2019,,,,,,,,,,,,,,,,
thaw_depth_171,1.686781547,1.639789151,1.571511326,1.556845511,0.64218758,0.617305353,0.60801821,0.60378671,2020,,,,,,,,,,,,,,,,
thaw_depth_172,1.719919919,1.653942564,1.547125629,1.558595682,0.659067252,0.630362203,0.617103924,0.610380677,2021,,,,,,,,,,,,,,,,
thaw_depth_173,1.759222714,1.65637676,1.633721911,1.578798729,0.66585551,0.613497398,0.625492653,0.600970224,2022,,,,,,,,,,,,,,,,
thaw_depth_174,1.76467631,1.666110881,1.626736812,1.624919224,0.686345489,0.632712674,0.630019429,0.608665713,2023,,,,,,,,,,,,,,,,
thaw_depth_175,1.833092535,1.716167947,1.629970977,1.616652698,0.664536833,0.636073008,0.629087528,0.611495459,2024,,,,,,,,,,,,,,,,
thaw_depth_176,1.837728013,1.719310477,1.647309326,1.656687457,0.681683019,0.657224584,0.617842481,0.622785438,2025,,,,,,,,,,,,,,,,
thaw_depth_177,1.875664268,1.729903866,1.609176058,1.678005162,0.695878678,0.643889533,0.656806872,0.623756617,2026,,,,,,,,,,,,,,,,
thaw_depth_178,1.888014028,1.748277093,1.637649081,1.694163045,0.692363483,0.646768375,0.636251467,0.64489096,2027,,,,,,,,,,,,,,,,
thaw_depth_179,1.939196429,1.811182472,1.675976126,1.689289687,0.700480329,0.646279656,0.649810963,0.642577306,2028,,,,,,,,,,,,,,,,
thaw_depth_180,1.962217104,1.85163136,1.728890447,1.685420465,0.712360749,0.659718956,0.641111717,0.646744378,2029,,,,,,,,,,,,,,,,
thaw_depth_181,1.974757062,1.871783852,1.718545226,1.730688473,0.714547394,0.669698171,0.638414238,0.642591746,2030,,,,,,,,,,,,,,,,
thaw_depth_182,2.055419395,1.873448637,1.721379265,1.747406398,0.717589337,0.673734188,0.644145831,0.653463713,2031,,,,,,,,,,,,,,,,
thaw_depth_183,2.077223475,1.892434601,1.747594674,1.741901159,0.720704182,0.677054593,0.643306231,0.658028679,2032,,,,,,,,,,,,,,,,
thaw_depth_184,2.145903854,1.959233337,1.733712867,1.768463387,0.723976016,0.682483014,0.657262817,0.666138748,2033,,,,,,,,,,,,,,,,
thaw_depth_185,2.155736663,1.93395467,1.800759797,1.802053194,0.739728973,0.701502284,0.649465089,0.666041077,2034,,,,,,,,,,,,,,,,
thaw_depth_186,2.186976891,1.989499798,1.847895522,1.794372249,0.744763848,0.695409349,0.645540518,0.667259438,2035,,,,,,,,,,,,,,,,
thaw_depth_187,2.213249707,1.99043395,1.870967543,1.85844076,0.763926427,0.693083841,0.652790164,0.669885213,2036,,,,,,,,,,,,,,,,
thaw_depth_188,2.228794982,2.033574715,1.863957192,1.909645849,0.75765589,0.689875777,0.669281505,0.674996415,2037,,,,,,,,,,,,,,,,
thaw_depth_189,2.278103997,2.06676793,1.8801888,1.924368464,0.756348585,0.698932895,0.672193185,0.670246236,2038,,,,,,,,,,,,,,,,
thaw_depth_190,2.365685099,2.061406171,1.954311799,1.892662558,0.765309531,0.698725787,0.652885886,0.680301196,2039,,,,,,,,,,,,,,,,
thaw_depth_191,2.395948416,2.110897279,1.94039106,1.895736152,0.775103039,0.709328565,0.649721435,0.676218938,2040,,,,,,,,,,,,,,,,
thaw_depth_192,2.405881482,2.130967187,1.96293725,1.895875303,0.781573418,0.723489319,0.67768921,0.677230522,2041,,,,,,,,,,,,,,,,
thaw_depth_193,2.446444112,2.160000986,1.988236423,1.893920763,0.775514899,0.719507114,0.659905465,0.678003685,2042,,,,,,,,,,,,,,,,
thaw_depth_194,2.497380709,2.190884187,2.020411473,1.933889901,0.77708246,0.709542031,0.681363844,0.673998361,2043,,,,,,,,,,,,,,,,
thaw_depth_195,2.503007553,2.176327601,2.02735743,1.937828057,0.784654331,0.726411655,0.686972113,0.683008827,2044,,,,,,,,,,,,,,,,
thaw_depth_196,2.574157796,2.216166426,2.055810088,1.966545766,0.780208793,0.730032795,0.679655522,0.682236058,2045,,,,,,,,,,,,,,,,
thaw_depth_197,2.573491397,2.267342009,2.049906085,1.985700253,0.793523455,0.728483617,0.694142063,0.682914917,2046,,,,,,,,,,,,,,,,
thaw_depth_198,2.588558305,2.296674887,2.102570485,2.01802524,0.801517089,0.731526491,0.678909546,0.688657638,2047,,,,,,,,,,,,,,,,
thaw_depth_199,2.639965822,2.329509457,2.132350962,2.00401858,0.796701135,0.74481637,0.677897807,0.697445369,2048,,,,,,,,,,,,,,,,
thaw_depth_200,2.680105476,2.361913895,2.140285517,2.009423454,0.802153642,0.738072763,0.703945962,0.695354225,2049,,,,,,,,,,,,,,,,
thaw_depth_201,2.707597491,2.438479266,2.158537409,2.054586789,0.800234337,0.743403054,0.71077211,0.708942957,2050,,,,,,,,,,,,,,,,
thaw_depth_202,2.737363419,2.509286769,2.161334418,2.056466449,0.803290219,0.739072056,0.707887894,0.708319468,2051,,,,,,,,,,,,,,,,
thaw_depth_203,2.784637763,2.487899638,2.222246,2.023102461,0.806377365,0.771513071,0.70090433,0.706125759,2052,,,,,,,,,,,,,,,,
thaw_depth_204,2.811114464,2.541870966,2.195465092,2.024175935,0.799673906,0.770336798,0.713425485,0.715282041,2053,,,,,,,,,,,,,,,,
thaw_depth_205,2.829241386,2.555853645,2.200507345,2.054212093,0.810851822,0.768713999,0.704164562,0.69416934,2054,,,,,,,,,,,,,,,,
thaw_depth_206,2.857064599,2.62056175,2.247327328,2.113366043,0.799352743,0.765451268,0.697528901,0.699241919,2055,,,,,,,,,,,,,,,,
thaw_depth_207,2.885324074,2.630134754,2.242921562,2.12992278,0.797812922,0.770239027,0.711451347,0.69983075,2056,,,,,,,,,,,,,,,,
thaw_depth_208,2.922052839,2.654824195,2.268682645,2.149827476,0.792053755,0.767109667,0.707785985,0.687345353,2057,,,,,,,,,,,,,,,,
thaw_depth_209,3.00624627,2.702491198,2.30038374,2.113089659,0.791640267,0.770572131,0.716268451,0.71121177,2058,,,,,,,,,,,,,,,,
thaw_depth_210,3.036435543,2.739547657,2.31918498,2.151091061,0.803975131,0.775418437,0.706898801,0.706745955,2059,,,,,,,,,,,,,,,,
thaw_depth_211,3.104245383,2.759530753,2.349956163,2.155875558,0.801148714,0.782428957,0.701982383,0.70409184,2060,,,,,,,,,,,,,,,,
thaw_depth_212,3.118291369,2.811529262,2.358317153,2.148414591,0.802937803,0.792304215,0.71449751,0.697697408,2061,,,,,,,,,,,,,,,,
thaw_depth_213,3.195180995,2.866025605,2.365729354,2.191913467,0.805942062,0.783321907,0.72585574,0.698011115,2062,,,,,,,,,,,,,,,,
thaw_depth_214,3.233152046,2.876308942,2.407230979,2.208264465,0.809690292,0.784334658,0.718174122,0.704592727,2063,,,,,,,,,,,,,,,,
thaw_depth_215,3.289109672,2.880771383,2.40903164,2.184514691,0.817660788,0.796767484,0.736748259,0.716272663,2064,,,,,,,,,,,,,,,,
thaw_depth_216,3.30669414,2.93221141,2.440634397,2.199633756,0.820482194,0.79693588,0.723040324,0.706468698,2065,,,,,,,,,,,,,,,,
thaw_depth_217,3.345457194,2.968355743,2.44302319,2.269150675,0.812410225,0.7882806,0.728488262,0.709282356,2066,,,,,,,,,,,,,,,,
thaw_depth_218,3.392400771,2.994521528,2.47545367,2.24406463,0.81731787,0.785098066,0.717817853,0.713887573,2067,,,,,,,,,,,,,,,,
thaw_depth_219,3.41983074,3.021317396,2.533810933,2.263481028,0.829366056,0.797441372,0.708311349,0.720515008,2068,,,,,,,,,,,,,,,,
thaw_depth_220,3.486476159,3.045978604,2.497197182,2.24310934,0.818873473,0.788746436,0.721177696,0.722057808,2069,,,,,,,,,,,,,,,,
thaw_depth_221,3.528789739,3.095133822,2.475594027,2.268804394,0.815612459,0.786551863,0.737709191,0.724156991,2070,,,,,,,,,,,,,,,,
thaw_depth_222,3.553753417,3.121662548,2.519187738,2.273020574,0.813647458,0.778495189,0.728306411,0.719156948,2071,,,,,,,,,,,,,,,,
thaw_depth_223,3.591943235,3.181552407,2.551744819,2.283835374,0.809025836,0.783216537,0.70643863,0.726619037,2072,,,,,,,,,,,,,,,,
thaw_depth_224,3.598681732,3.215461859,2.534797449,2.264928536,0.817905727,0.785620586,0.71557052,0.722141342,2073,,,,,,,,,,,,,,,,
thaw_depth_225,3.599420406,3.247324866,2.567685379,2.266652535,0.81957165,0.797888279,0.710515125,0.724172405,2074,,,,,,,,,,,,,,,,
thaw_depth_226,3.625338949,3.272409563,2.580701568,2.310313574,0.811794502,0.803468687,0.714821317,0.721938248,2075,,,,,,,,,,,,,,,,
thaw_depth_227,3.665269554,3.313026908,2.578549899,2.284578403,0.799842476,0.794164769,0.716053083,0.729717918,2076,,,1.308906117,1.308906117,1.200736821,1.200736821,,,,,,,,,,
thaw_depth_228,3.669702067,3.380482599,2.563452059,2.296026521,0.815437793,0.799646678,0.742090033,0.72138143,2077,,,,,,,,,,,,,,,,
thaw_depth_229,3.68253459,3.375634723,2.590524729,2.297678568,0.829563578,0.814226354,0.71520463,0.718958398,2078,,,,,,,,,,,,,,,,
thaw_depth_230,3.717909714,3.440276211,2.576027351,2.318499346,0.800871448,0.800238596,0.716727563,0.719071431,2079,,,,,,,,,,,,,,,,
thaw_depth_231,3.771605244,3.485397168,2.594624748,2.312231775,0.786934096,0.804221727,0.719397475,0.714388788,2080,,,3.951223819,3.674453723,2.722191739,2.305593506,,,,,,,,,,
thaw_depth_232,3.788757899,3.468769519,2.622028127,2.293338541,0.787229112,0.811972776,0.706967543,0.72458399,2081,,,,,,,,,,,,,,,,
thaw_depth_233,3.823394337,3.507872629,2.618122248,2.31632687,0.788979155,0.806778131,0.712347528,0.713371514,2082,,,2.642317702,,,,,,,,,,,,,
thaw_depth_234,3.837052347,3.538593679,2.634299658,2.286299974,0.779088007,0.804329528,0.712613103,0.720336253,2083,,,0.026423177,,,,,,,,,,,,,
thaw_depth_235,3.854577761,3.562571377,2.666260956,2.301335865,0.777855373,0.808249164,0.709802341,0.71505554,2084,,,,,,,,,,,,,,,,
thaw_depth_236,3.865745377,3.610615231,2.743125759,2.297298988,0.790912924,0.803910436,0.713846293,0.725034316,2085,,,,,,,,,,,,,,,,
thaw_depth_237,3.893835157,3.633375495,2.715724407,2.312407724,0.777705549,0.808880177,0.707124209,0.722156319,2086,,,,,,,,,,,,,,,,
thaw_depth_238,3.906827594,3.621565524,2.70620225,2.314200968,0.777123775,0.81134108,0.714418671,0.725275427,2087,,,0.763746753,0.812962097,0.719910209,0.737600882,,,,,,,,,,
thaw_depth_239,3.919623519,3.656083643,2.693554306,2.293545809,0.781978968,0.814770317,0.721104122,0.724053321,2088,,,,,,,,,,,,,,,,
thaw_depth_240,3.92356491,3.682548597,2.695771261,2.285352464,0.781279465,0.810239803,0.719024394,0.732967854,2089,,,0.545530687,0.545530687,0.515112927,0.515112927,,,,,,,,,,
thaw_depth_241,3.950999581,3.691595177,2.693756403,2.305534855,0.764602417,0.809121317,0.728962172,0.725365783,2090,,,,,,,,,,,,,,,,
thaw_depth_242,3.979722979,3.719439416,2.715510028,2.281693124,0.763822018,0.802596719,0.715950102,0.733929163,2091,,,,,,,,,,,,,,,,
thaw_depth_243,3.986527337,3.732330517,2.753584688,2.335611362,0.768051974,0.806061961,0.707447423,0.732314314,2092,,,0.218216066,0.26743141,0.204797282,0.222487955,,,,,,,,,,
thaw_depth_244,4.013250184,3.730364132,2.78617205,2.295699702,0.779495225,0.817690094,0.712070661,0.744796112,2093,,,21.82160657,26.74314096,20.47972823,22.24879553,,,,,,,,,,
thaw_depth_245,4.025048576,3.728086102,2.749640629,2.298058429,0.774708051,0.830459951,0.750007454,0.765692389,2094,,,2.182160657,2.674314096,2.047972823,2.224879553,,,,,,,,,,
thaw_depth_246,4.055725311,3.754518942,2.794813829,2.307613049,0.750264788,0.815041149,0.713311408,0.752293913,2095,,,,,,,,,,,,,,,,
thaw_depth_247,4.064793204,3.765602993,2.79114545,2.291959639,0.752111642,0.818727814,0.708815961,0.747405126,2096,,,,,,,,,,,,,,,,
thaw_depth_248,4.068290084,3.804073033,2.789719556,2.299018707,0.757588687,0.802510263,0.712002704,0.737861201,2097,,,,,,,,,,,,,,,,
thaw_depth_249,4.085977248,3.80588182,2.804173405,2.336898372,0.747441351,0.816972699,0.733462309,0.721069613,2098,,,,,,,,,,,,,,,,
thaw_depth_250,4.080190776,3.839897031,2.787423617,2.332990485,0.771564064,0.809946191,0.724819323,0.727179321,2099,,,,,,,,,,,,,,,,
251,4.080190776,3.824346155,2.810373135,2.320046934,0.771564064,0.813454906,0.71216278,0.725702765,2100,,,,,,,,,,,,,,,,